term,normalized_term,definition,definition_source,matched_source_term,source_columns,network_keys,n_mentions,needs_llm_definition,text
Scene processing,scene processing,Scene processing involves neural mechanisms that integrate visual information to recognize and interpret complex environments.,ollama:qwen2.5:14b-instruct,Scene processing,cognitive_terms,visual,19,False,Scene processing [SEP] Scene processing involves neural mechanisms that integrate visual information to recognize and interpret complex environments.
Selective attention,selective attention,"When multiple external sensory inputs are present, the process of dedicating cognitive and perceptual resources to one type/set of input and attenuating receptiveness to other inputs.",cogatlas,selective attention,cognitive_terms,attention,5,False,"Selective attention [SEP] When multiple external sensory inputs are present, the process of dedicating cognitive and perceptual resources to one type/set of input and attenuating receptiveness to other inputs."
Self-referential thought,self referential thought,"Self-referential thought involves cognitive processes that focus on the self, including introspection and evaluation of one's own thoughts and actions.",ollama:qwen2.5:14b-instruct,Self-referential thought,cognitive_terms,default_mode,13,False,"Self-referential thought [SEP] Self-referential thought involves cognitive processes that focus on the self, including introspection and evaluation of one's own thoughts and actions."
Semantic processing,semantic processing,"The cognitive processing of extracting meaning from any form of language (e.g. human language, programming language) as well as formal logics and semiotics.",cogatlas,semantic processing,cognitive_terms,language,3,False,"Semantic processing [SEP] The cognitive processing of extracting meaning from any form of language (e.g. human language, programming language) as well as formal logics and semiotics."
Sensorimotor integration,sensorimotor integration,Process linking sensory input with motor output to produce coordinated behavior and learning from experience.,ollama:qwen2.5:14b-instruct,Sensorimotor integration,cognitive_terms,motor,27,False,Sensorimotor integration [SEP] Process linking sensory input with motor output to produce coordinated behavior and learning from experience.
Social cognition,social cognition,"The encoding, storage, retrieval, and processing, in the brain, of information relating to conspecifics, or members of the same species.",cogatlas,social cognition,cognitive_terms,default_mode,13,False,"Social cognition [SEP] The encoding, storage, retrieval, and processing, in the brain, of information relating to conspecifics, or members of the same species."
Somatosensory processing,somatosensory processing,"Somatosensory processing involves the brain's interpretation of touch, temperature, pain, and proprioception from body parts.",ollama:qwen2.5:14b-instruct,Somatosensory processing,cognitive_terms,motor,27,False,"Somatosensory processing [SEP] Somatosensory processing involves the brain's interpretation of touch, temperature, pain, and proprioception from body parts."
Sound localization,sound localization,"Sound localization refers to the cognitive construct by which humans perceive the direction from which a sound originates, involving complex brain processes that are studied through techniques such as acoustic stimulation and brain mapping; this ability is present in both males and females and is crucial for spatial awareness and navigation.",kg_mesh,Sound Localization,cognitive_terms,auditory,5,False,"Sound localization [SEP] Sound localization refers to the cognitive construct by which humans perceive the direction from which a sound originates, involving complex brain processes that are studied through techniques such as acoustic stimulation and brain mapping; this ability is present in both males and females and is crucial for spatial awareness and navigation."
Spatial orienting,spatial orienting,"Spatial orienting directs attention to a specific location in space, preparing neural circuits to process stimuli from that area.",ollama:qwen2.5:14b-instruct,Spatial orienting,cognitive_terms,attention,5,False,"Spatial orienting [SEP] Spatial orienting directs attention to a specific location in space, preparing neural circuits to process stimuli from that area."
Speech comprehension,speech comprehension,"Speech comprehension refers to the cognitive process of understanding spoken language, which involves integrating auditory input from the Auditory Cortex, processing temporal patterns relevant to speech in the Temporal Lobe, and integrating this information with existing linguistic knowledge stored in areas such as the Prefrontal Cortex for meaningful interpretation. This construct co-occurs with speech perception, language processing, and is significantly related to the functioning of both auditory and higher-order cognitive regions.",kg_mesh,speech comprehension,cognitive_terms,language,3,False,"Speech comprehension [SEP] Speech comprehension refers to the cognitive process of understanding spoken language, which involves integrating auditory input from the Auditory Cortex, processing temporal patterns relevant to speech in the Temporal Lobe, and integrating this information with existing linguistic knowledge stored in areas such as the Prefrontal Cortex for meaningful interpretation. This construct co-occurs with speech perception, language processing, and is significantly related to the functioning of both auditory and higher-order cognitive regions."
Speech production,speech production,"Is the process by which spoken words are selected to be produced, have their phonetics formulated and then finally are articulated by the motor system in the vocal apparatus. speech production can be spontaneous such as when a person creates the words of a conversation, reaction such as when they name a picture or read aloud a written word, or a vocal imitation such as in speech repetition.  speech production is not the same as language production since language can also be produced manually by signs.",cogatlas,speech production,cognitive_terms,language,3,False,"Speech production [SEP] Is the process by which spoken words are selected to be produced, have their phonetics formulated and then finally are articulated by the motor system in the vocal apparatus. speech production can be spontaneous such as when a person creates the words of a conversation, reaction such as when they name a picture or read aloud a written word, or a vocal imitation such as in speech repetition.  speech production is not the same as language production since language can also be produced manually by signs."
Speech-sound processing,speech sound processing,Processing of auditory signals to recognize and discriminate speech sounds.,ollama:qwen2.5:14b-instruct,Speech-sound processing,cognitive_terms,auditory,5,False,Speech-sound processing [SEP] Processing of auditory signals to recognize and discriminate speech sounds.
Spontaneous thought,spontaneous thought,Spontaneous thought refers to internally generated thinking that occurs without direct external stimulation or explicit goal-directed focus.,ollama:qwen2.5:14b-instruct,Spontaneous thought,cognitive_terms,default_mode,13,False,Spontaneous thought [SEP] Spontaneous thought refers to internally generated thinking that occurs without direct external stimulation or explicit goal-directed focus.
Stable task-set maintenance,stable task set maintenance,Maintaining cognitive readiness to execute a specific set of tasks over time.,ollama:qwen2.5:14b-instruct,Stable task-set maintenance,cognitive_terms,cingulo_opercular,14,False,Stable task-set maintenance [SEP] Maintaining cognitive readiness to execute a specific set of tasks over time.
Superior frontal,superior frontal,Area of the frontal lobe involved in higher cognitive functions such as planning and decision making.,ollama:qwen2.5:14b-instruct,Superior frontal,region_terms,attention,5,False,Superior frontal [SEP] Area of the frontal lobe involved in higher cognitive functions such as planning and decision making.
Superior parietal lobule (dorsal),superior parietal lobule,Superior parietal lobule is a region in the dorsal part of the parietal lobe involved in spatial processing and attention.,ollama:qwen2.5:14b-instruct,Superior parietal lobule (dorsal),region_terms,attention,5,False,Superior parietal lobule (dorsal) [SEP] Superior parietal lobule is a region in the dorsal part of the parietal lobe involved in spatial processing and attention.
Superior temporal gyrus,superior temporal gyrus,Superior temporal gyrus is a brain region involved in processing auditory information and language comprehension.,ollama:qwen2.5:14b-instruct,Superior temporal gyrus,region_terms,auditory,5,False,Superior temporal gyrus [SEP] Superior temporal gyrus is a brain region involved in processing auditory information and language comprehension.
Superior temporal sulcus,superior temporal sulcus,"The superior temporal sulcus is a groove on the surface of the brain located in the temporal lobe, which plays a crucial role in perception and processing of visual motion and social cues; it co-occurs with the temporal lobe, temporoparietal region, and visual cortex, and interacts with areas such as the prefrontal cortex, amygdala, and posterior superior temporal sulcus.",kg_mesh,superior temporal sulcus,region_terms,auditory,5,False,"Superior temporal sulcus [SEP] The superior temporal sulcus is a groove on the surface of the brain located in the temporal lobe, which plays a crucial role in perception and processing of visual motion and social cues; it co-occurs with the temporal lobe, temporoparietal region, and visual cortex, and interacts with areas such as the prefrontal cortex, amygdala, and posterior superior temporal sulcus."
Supplementary motor area,supplementary motor area,Supplementary motor area plans and coordinates complex movements and is involved in processing spatial relationships.,ollama:qwen2.5:14b-instruct,Supplementary motor area,region_terms,motor,27,False,Supplementary motor area [SEP] Supplementary motor area plans and coordinates complex movements and is involved in processing spatial relationships.
Supramarginal gyrus,supramarginal gyrus,"Part of the inferior parietal lobule involved in language processing and social cognition, aiding semantic retrieval.",ollama:qwen2.5:14b-instruct,Supramarginal gyrus,region_terms,language,3,False,"Supramarginal gyrus [SEP] Part of the inferior parietal lobule involved in language processing and social cognition, aiding semantic retrieval."
Sustained attention,sustained attention,The ability to maintain a consistent behavioral response during continuous and repetitive activity.,cogatlas,sustained attention,cognitive_terms,attention,5,False,Sustained attention [SEP] The ability to maintain a consistent behavioral response during continuous and repetitive activity.
Sustained control,sustained control,Sustained control involves maintaining attention and effort over prolonged periods to achieve complex cognitive tasks.,ollama:qwen2.5:14b-instruct,Sustained control,cognitive_terms,cingulo_opercular,14,False,Sustained control [SEP] Sustained control involves maintaining attention and effort over prolonged periods to achieve complex cognitive tasks.
Syntax processing,syntax processing,Syntax processing involves neural mechanisms decoding grammar and sentence structure in language comprehension.,ollama:qwen2.5:14b-instruct,Syntax processing,cognitive_terms,language,3,False,Syntax processing [SEP] Syntax processing involves neural mechanisms decoding grammar and sentence structure in language comprehension.
Task switching,task switching,"The process of switching from one task or goal to another, depending on the context or instructions, that is, the process of switching between task sets.",cogatlas,task switching,cognitive_terms,frontoparietal_control,18,False,"Task switching [SEP] The process of switching from one task or goal to another, depending on the context or instructions, that is, the process of switching between task sets."
Temperature,temperature,"Temperature refers to the measure of thermal energy in biological systems, playing a crucial role in various processes such as thermosensing and brain function, and is implicated in conditions like Escherichia coli infections; it is also used as a parameter in advanced imaging techniques including Magnetic Resonance Imaging and Magnetic Resonance Spectroscopy.",kg_mesh,Temperature,cognitive_terms,motor,27,False,"Temperature [SEP] Temperature refers to the measure of thermal energy in biological systems, playing a crucial role in various processes such as thermosensing and brain function, and is implicated in conditions like Escherichia coli infections; it is also used as a parameter in advanced imaging techniques including Magnetic Resonance Imaging and Magnetic Resonance Spectroscopy."
Temporoparietal junction,temporoparietal junction,"The temporoparietal junction (TPJ) is an anatomical region located at the meeting point of the temporal and parietal lobes in the brain, significant for cognitive functions such as attention, perception, and theory of mind; it co-occurs with areas like the medial prefrontal cortex and insular cortex, and is involved in processes including cognition.",kg_mesh,temporoparietal junction,region_terms,attention,5,False,"Temporoparietal junction [SEP] The temporoparietal junction (TPJ) is an anatomical region located at the meeting point of the temporal and parietal lobes in the brain, significant for cognitive functions such as attention, perception, and theory of mind; it co-occurs with areas like the medial prefrontal cortex and insular cortex, and is involved in processes including cognition."
Thalamus,thalamus,"The thalamus is a paired structure within the brain that acts as a relay center for nearly all sensory information (except olfactory) before it reaches the cerebral cortex, significantly implicated in Humans, Male, and Female, and often visualized through Magnetic Resonance Imaging, particularly in Adult subjects.",kg_mesh,Thalamus,region_terms,cingulo_opercular; motor,41,False,"Thalamus [SEP] The thalamus is a paired structure within the brain that acts as a relay center for nearly all sensory information (except olfactory) before it reaches the cerebral cortex, significantly implicated in Humans, Male, and Female, and often visualized through Magnetic Resonance Imaging, particularly in Adult subjects."
Theory of mind,theory of mind,"The ability for a person to connect emotional states to themselves and others and understand that other people may have different  beliefs, desires, or intentions from one&#39;s self.  it is intimately connected with the development of a person&#39;s ability to analyze and interpret the intentions of others.",cogatlas,theory of mind,cognitive_terms,default_mode,13,False,"Theory of mind [SEP] The ability for a person to connect emotional states to themselves and others and understand that other people may have different  beliefs, desires, or intentions from one&#39;s self.  it is intimately connected with the development of a person&#39;s ability to analyze and interpret the intentions of others."
Top-down attentional control,top down attentional control,"Top-down attentional control refers to the cognitive process by which higher-level cognitive functions, such as working memory and goal-directed thinking, influence the allocation of attentional resources. This mechanism is crucial for filtering relevant information from the environment and modulating sensory processing based on current goals and expectations, co-occurring with concepts like attentional control in biomedical research.",kg_mesh,top-down attentional control,cognitive_terms,attention,5,False,"Top-down attentional control [SEP] Top-down attentional control refers to the cognitive process by which higher-level cognitive functions, such as working memory and goal-directed thinking, influence the allocation of attentional resources. This mechanism is crucial for filtering relevant information from the environment and modulating sensory processing based on current goals and expectations, co-occurring with concepts like attentional control in biomedical research."
Touch,touch,"Touch, in the context of cognitive constructs, refers to the sensory perception mediated by somatosensory receptors and plays a crucial role in human interaction, development, and emotional processing; it is implicated across genders (Male, Female) and age groups (Adults), significantly influencing brain mapping and cognitive functions.",kg_mesh,Touch,cognitive_terms,motor,27,False,"Touch [SEP] Touch, in the context of cognitive constructs, refers to the sensory perception mediated by somatosensory receptors and plays a crucial role in human interaction, development, and emotional processing; it is implicated across genders (Male, Female) and age groups (Adults), significantly influencing brain mapping and cognitive functions."
Ventral frontal cortex,ventral frontal cortex,"Ventral frontal cortex is involved in cognitive control and regulation of behavior, speech production, and aspects of language comprehension.",ollama:qwen2.5:14b-instruct,Ventral frontal cortex,region_terms,attention,5,False,"Ventral frontal cortex [SEP] Ventral frontal cortex is involved in cognitive control and regulation of behavior, speech production, and aspects of language comprehension."
Ventral occipitotemporal cortex,ventral occipitotemporal cortex,"The ventral occipitotemporal cortex is a region of the brain located in the temporal lobe and occipital lobe, playing a crucial role in object recognition and visual word processing; it co-occurs with both the temporal lobe and occipitotemporal cortex.",kg_mesh,ventral occipitotemporal cortex,region_terms,visual,19,False,"Ventral occipitotemporal cortex [SEP] The ventral occipitotemporal cortex is a region of the brain located in the temporal lobe and occipital lobe, playing a crucial role in object recognition and visual word processing; it co-occurs with both the temporal lobe and occipitotemporal cortex."
Visual network,visual network,"The visual network includes primary and extrastriate visual cortices, lateral occipital cortex, fusiform gyrus, ventral occipitotemporal cortex, middle temporal visual area, lateral temporal-occipital cortex, intraparietal visual regions, and dorsal occipital-parietal areas. It supports visual perception, object and face recognition, scene processing, motion perception, visuospatial processing, and visually guided attention.",network_test_set_labels.long_definition,Visual,network_name,visual,19,False,"Visual network [SEP] The visual network includes primary and extrastriate visual cortices, lateral occipital cortex, fusiform gyrus, ventral occipitotemporal cortex, middle temporal visual area, lateral temporal-occipital cortex, intraparietal visual regions, and dorsal occipital-parietal areas. It supports visual perception, object and face recognition, scene processing, motion perception, visuospatial processing, and visually guided attention."
Visual attention,visual attention,"Two-stage process in which attention is distributed uniformly over the external visual scene and processing of information is performed in parallel, attention is then concentrated to a specific area of the visual scene (i.e. it is focused), and processing is performed in a serial fashion.",cogatlas,visual attention,cognitive_terms,visual,19,False,"Visual attention [SEP] Two-stage process in which attention is distributed uniformly over the external visual scene and processing of information is performed in parallel, attention is then concentrated to a specific area of the visual scene (i.e. it is focused), and processing is performed in a serial fashion."
Visual perception,visual perception,"Visual perception is the ability to interpret the surrounding environment by processing information that is contained in visible light. the resulting perception is also known as eyesight, sight, or vision.",cogatlas,visual perception,cognitive_terms,visual,19,False,"Visual perception [SEP] Visual perception is the ability to interpret the surrounding environment by processing information that is contained in visible light. the resulting perception is also known as eyesight, sight, or vision."
Visuospatial processing,visuospatial processing,Processing and interpreting visual information to understand spatial relationships and navigate the environment.,ollama:qwen2.5:14b-instruct,Visuospatial processing,cognitive_terms,visual,19,False,Visuospatial processing [SEP] Processing and interpreting visual information to understand spatial relationships and navigate the environment.
Voluntary movement execution,voluntary movement execution,Process by which the brain plans and initiates conscious actions through neural pathways involving motor cortex and basal ganglia.,ollama:qwen2.5:14b-instruct,Voluntary movement execution,cognitive_terms,motor,27,False,Voluntary movement execution [SEP] Process by which the brain plans and initiates conscious actions through neural pathways involving motor cortex and basal ganglia.
Working memory,working memory,"Active maintenance and flexible updating of goal/task relevant information (items, goals, strategies, etc.) in a form that resists interference but has limited capacity. these representations may involve flexible binding of representations, may be characterized by the absence of external support for the internally maintained representations, and are frequently temporary due to ongoing interference.",cogatlas,working memory,cognitive_terms,frontoparietal_control,18,False,"Working memory [SEP] Active maintenance and flexible updating of goal/task relevant information (items, goals, strategies, etc.) in a form that resists interference but has limited capacity. these representations may involve flexible binding of representations, may be characterized by the absence of external support for the internally maintained representations, and are frequently temporary due to ongoing interference."
